timestamp_utc,frame_type,src_mac,dst_mac,bssid,ssid,rssi_dbm,channel,freq_mhz,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms,src_vendor,dst_mac_pcap,bssid_pcap,frame_len,ie_ids,ssid_pcap,frame_type_pcap,seq_ctl,ie_fingerprint,ie_vendor_ouis,_match_delta_ms,dst_vendor_pcap,bssid_vendor_pcap,seq_num
2025-12-21 12:04:40.548000+00:00,probe-resp,6c:8b:d3:e1:07:ea,82:49:95:5d:6c:29,6c:8b:d3:e1:07:ea,iotred,-58.0,1,2412,,,,0,0,99.99,441,Cisco,82:49:95:5d:6c:29,,327.0,"0,1,3,7,32,42,48,11,70,54,45,61,127,221,133",iotred,probe-resp,57264.0,,,,,,3579
2025-12-21 12:04:40.548000+00:00,probe-resp,6c:8b:d3:e1:07:ea,82:49:95:5d:6c:29,6c:8b:d3:e1:07:ea,iotred,-58.0,1,2412,,,,0,0,99.99,440,Cisco,82:49:95:5d:6c:29,,327.0,"0,1,3,7,32,42,48,11,70,54,45,61,127,221,133",iotred,probe-resp,57264.0,,,,,,3579
2025-12-21 12:04:40.548000+00:00,probe-resp,6c:8b:d3:e1:07:ea,82:49:95:5d:6c:29,6c:8b:d3:e1:07:ea,iotred,-58.0,1,2412,,,,0,0,99.99,441,Cisco,82:49:95:5d:6c:29,,327.0,"0,1,3,7,32,42,48,11,70,54,45,61,127,221,133",iotred,probe-resp,57264.0,,,,,,3579
2025-12-21 12:04:41.440000+00:00,beacon,4e:7f:a1:a6:c0:68,ff:ff:ff:ff:ff:ff,4e:7f:a1:a6:c0:68,M-WM-^T-iPhone M-WM-,-52.0,1,2412,,,,0,0,99.99,442,,ff:ff:ff:ff:ff:ff,4e:7f:a1:a6:c0:68,361.0,"0,1,3,5,7,32,35,42,50,48,45,61,127",ה-iPhone של Ron,beacon,11856.0,,,,Broadcast,,741
2025-12-21 12:04:41.496000+00:00,beacon,f0:1d:2d:b9:f4:22,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:22,SOP,-45.0,1,2412,,,,0,0,99.99,443,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:22,379.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",SOP,beacon,63168.0,,,,Broadcast,Cisco,3948
2025-12-21 12:04:41.496000+00:00,beacon,f0:1d:2d:b9:f4:21,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,eduroam,-44.0,1,2412,,,,0,0,99.99,442,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,380.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",eduroam,beacon,63152.0,,,,Broadcast,Cisco,3947
2025-12-21 12:04:41.496000+00:00,beacon,f0:1d:2d:b9:f4:20,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,BGU-WIFI,-45.0,1,2412,,,,0,0,99.99,442,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,381.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",BGU-WIFI,beacon,63136.0,,,,Broadcast,Cisco,3946
2025-12-21 12:04:41.496000+00:00,beacon,f0:1d:2d:b9:f4:2a,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:2a,iotred,-45.0,1,2412,,,,0,0,99.99,443,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:2a,392.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",iotred,beacon,63200.0,,,,Broadcast,Cisco,3950
2025-12-21 12:04:41.496000+00:00,beacon,f0:1d:2d:b9:f4:23,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:23,just4visitors,-45.0,1,2412,,,,0,0,99.99,443,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:23,303.0,"0,1,3,5,7,32,42,11,70,45,61,127,221,221,221,221,133,149",just4visitors,beacon,63184.0,,,,Broadcast,Cisco,3949
2025-12-21 12:04:41.598000+00:00,beacon,f0:1d:2d:b9:f4:22,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:22,SOP,-45.0,1,2412,,,,0,0,99.99,444,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:22,379.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",SOP,beacon,63248.0,,,,Broadcast,Cisco,3953
