timestamp_utc,frame_type,src_mac,dst_mac,bssid,ssid,rssi_dbm,channel,freq_mhz,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms,src_vendor,seq_ctl,frame_len,ie_ids,ie_fingerprint,ie_vendor_ouis,_match_delta_ms,dst_vendor_pcap,bssid_vendor_pcap,seq_num
2026-01-20 16:34:47.772000+00:00,probe-req,0c:7e:24:0f:45:f2,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-57.0,1,2412,,,,0,0,99.99,966,,1744.0,142.0,"1,50,45,221",1:82848c98b0;50:0b16122448606c;45:000018ff00000000000000000000000000000000000000000000;221:00904c33000018ff00000000000000000000000000000000000000000000,00904c,,Broadcast,Broadcast,109
2026-01-20 16:34:47.839000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-87.0,1,2412,,,,0,0,99.99,966,,55472.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3467
2026-01-20 16:34:47.872000+00:00,probe-req,0c:7e:24:0f:45:f2,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-57.0,1,2412,,,,0,0,99.99,967,,1760.0,142.0,"1,50,45,221",1:82848c98b0;50:0b16122448606c;45:000018ff00000000000000000000000000000000000000000000;221:00904c33000018ff00000000000000000000000000000000000000000000,00904c,,Broadcast,Broadcast,110
2026-01-20 16:34:47.973000+00:00,probe-req,0c:7e:24:0f:45:f2,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-63.0,1,2412,,,,0,0,99.99,967,,1776.0,142.0,"1,50,45,221",1:82848c98b0;50:0b16122448606c;45:000018ff00000000000000000000000000000000000000000000;221:00904c33000018ff00000000000000000000000000000000000000000000,00904c,,Broadcast,Broadcast,111
2026-01-20 16:34:48.026000+00:00,heartbeat,nan,nan,nan,,,1,2412,,,,0,0,99.99,740,,,,,,,,,,
2026-01-20 16:34:48.044000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-83.0,1,2412,,,,0,0,99.99,967,,55504.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3469
2026-01-20 16:34:48.072000+00:00,probe-req,0c:7e:24:0f:45:f2,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-66.0,1,2412,,,,0,0,99.99,968,,1792.0,142.0,"1,50,45,221",1:82848c98b0;50:0b16122448606c;45:000018ff00000000000000000000000000000000000000000000;221:00904c33000018ff00000000000000000000000000000000000000000000,00904c,,Broadcast,Broadcast,112
2026-01-20 16:34:48.146000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-84.0,1,2412,,,,0,0,99.99,968,,55520.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3470
2026-01-20 16:34:48.172000+00:00,probe-req,0c:7e:24:0f:45:f2,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-66.0,1,2412,,,,0,0,99.99,968,,1808.0,142.0,"1,50,45,221",1:82848c98b0;50:0b16122448606c;45:000018ff00000000000000000000000000000000000000000000;221:00904c33000018ff00000000000000000000000000000000000000000000,00904c,,Broadcast,Broadcast,113
2026-01-20 16:34:48.248000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-87.0,1,2412,,,,0,0,99.99,969,,55536.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3471
2026-01-20 16:34:48.272000+00:00,probe-req,0c:7e:24:0f:45:f2,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-67.0,1,2412,,,,0,0,99.99,983,,1824.0,142.0,"1,50,45,221",1:82848c98b0;50:0b16122448606c;45:000018ff00000000000000000000000000000000000000000000;221:00904c33000018ff00000000000000000000000000000000000000000000,00904c,,Broadcast,Broadcast,114
2026-01-20 16:34:48.351000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-85.0,1,2412,,,,0,0,99.99,983,,55552.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3472
2026-01-20 16:34:48.453000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-87.0,1,2412,,,,0,0,99.99,984,,55568.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3473
2026-01-20 16:34:48.473000+00:00,probe-req,0c:7e:24:0f:45:f2,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-79.0,1,2412,,,,0,0,99.99,984,,1856.0,142.0,"1,50,45,221",1:82848c98b0;50:0b16122448606c;45:000018ff00000000000000000000000000000000000000000000;221:00904c33000018ff00000000000000000000000000000000000000000000,00904c,,Broadcast,Broadcast,116
2026-01-20 16:34:48.658000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-87.0,1,2412,,,,0,0,99.99,984,,55600.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3475
